PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3(Flitecam data),PAH G7.6,PAH G7.8,H2,H2_12,PAH PLAT7,f_evsg,G76,G78,G76 Dave,G78 Dave,PAH 12.7
7.35379563588232E-06,3.76958218630931E-06,1.24277351295855E-05,3.20588689216277E-07,2.28445122597667E-06,1.21087960976992E-06,1.34909581104597E-05,3.3919567199827E-06,2.28923122881466E-07,9.25089489327995E-08,2.91895429142485E-05,0.335554167493139,2.81642422402094E-05,1.06217686632462E-05,1.07574699369372E-05,5.61704687516813E-06,1.28783675306686E-06
8.89734392926148E-06,4.09274428353003E-06,1.58997834532469E-05,3.88487262029278E-07,2.85153428365135E-06,1.85743053902503E-06,1.66676221289197E-05,3.89504906531945E-06,2.30798270662E-07,8.99291125929443E-08,3.31185450217622E-05,0.294521683682764,3.47959680375269E-05,1.21971810135678E-05,1.28406574207251E-05,6.24414809925153E-06,1.44889752126653E-06
1.0419937224239E-05,4.47095679480249E-06,1.93418799594289E-05,4.59750942302217E-07,3.56947808315138E-06,2.36575591321188E-06,2.01145942005923E-05,4.54116999950264E-06,2.33546533591311E-07,8.01553964978857E-08,3.75978271211715E-05,0.262580044178689,4.1991999307282E-05,1.42204813260226E-05,1.59544357996463E-05,7.46662828816332E-06,1.64914798695062E-06
1.11665249820214E-05,4.72385155842478E-06,2.10853970714332E-05,5.02231820647958E-07,4.00883956063471E-06,2.16423647021201E-06,2.17386733802973E-05,4.87873289971529E-06,2.45414694735149E-07,8.16366072826501E-08,4.04500486319802E-05,0.251765276920534,4.53824893718111E-05,1.52775452367236E-05,1.79998837036454E-05,8.21727677568151E-06,1.77784129357513E-06
1.07738330804322E-05,4.66410397716456E-06,2.03853649411683E-05,5.11061889520982E-07,3.85542861465686E-06,1.75630140412456E-06,2.07849582263966E-05,4.68978442485804E-06,2.39458768661709E-07,7.431852651128E-08,3.96414346911619E-05,0.250245754424993,4.33914769913196E-05,1.46858610983667E-05,1.79565077191678E-05,8.10775028881223E-06,1.80131772840188E-06
9.75285725523986E-06,4.37103679737541E-06,1.85115997076955E-05,4.93365147301092E-07,3.43978117527253E-06,1.63038070772753E-06,1.88236858536759E-05,4.23102101339713E-06,2.22646363990197E-07,5.54479937769269E-08,3.60303970962241E-05,0.233106358553241,3.92970494679318E-05,1.32492629251081E-05,1.6478022499343E-05,7.32760294991255E-06,1.72647116984723E-06
9.20751557043818E-06,4.12240280645504E-06,1.7070487879255E-05,4.72366441551548E-07,3.13564260403777E-06,1.57157480717792E-06,1.74352486934744E-05,3.88148586535619E-06,2.19787234453455E-07,5.40868761967972E-08,3.28504624179963E-05,0.211836949537476,3.6398494732601E-05,1.21547084279082E-05,1.50863021506512E-05,6.59123737091348E-06,1.61007301723783E-06
8.80799050571128E-06,4.02765065030198E-06,1.65032458792807E-05,4.57181971042154E-07,2.96169782931096E-06,1.57615427782062E-06,1.69654607434734E-05,3.73748187583577E-06,2.27562076999519E-07,6.74536668364551E-08,3.28296982084995E-05,0.206460915887171,3.54177473670673E-05,1.17037660399174E-05,1.45443218524737E-05,6.28411361630103E-06,1.54339035624895E-06
8.80721877104566E-06,3.97471605409154E-06,1.61541054588755E-05,4.53950205831069E-07,2.83611450693815E-06,1.55679249109611E-06,1.66799385508516E-05,3.65626183113303E-06,2.28390210517811E-07,7.34851714657997E-08,3.28603748379352E-05,0.19855198214466,3.48216802729354E-05,1.14494289133354E-05,1.4288310994807E-05,6.1780126219991E-06,1.50869973848933E-06
8.76951604325224E-06,3.87647141734974E-06,1.56118449452258E-05,4.47170545566149E-07,2.73485034606996E-06,1.44574192344431E-06,1.61507040728803E-05,3.6054217164048E-06,2.10634304873636E-07,6.74230345724539E-08,3.13746723171629E-05,0.193071827904905,3.37168300527053E-05,1.12902252494812E-05,1.38289090827946E-05,6.08526714623666E-06,1.48484270139457E-06
8.4229721981062E-06,3.83531285875427E-06,1.52571486096791E-05,4.31481630970331E-07,2.66154672075786E-06,1.76476011161927E-06,1.57396499701564E-05,3.59384973069054E-06,1.98722704555886E-07,7.09742005053004E-08,3.03778544553458E-05,0.198483016766084,3.28586977222839E-05,1.12539880668228E-05,1.35274001669957E-05,6.01852343561029E-06,1.47041408977488E-06
8.26096918307638E-06,3.97473118920342E-06,1.51497738918049E-05,4.29224163988118E-07,2.62981556679988E-06,1.82079730869212E-06,1.56236975189266E-05,3.64585494142232E-06,2.00962656693706E-07,7.77014683136117E-08,3.09396743908133E-05,0.223568510182862,3.26166309322129E-05,1.14168401794167E-05,1.35891459448901E-05,6.15551063444231E-06,1.4647491927993E-06
8.44005845604531E-06,4.17132820674565E-06,1.52083012624926E-05,4.23435286529733E-07,2.6438134693856E-06,1.84137811868403E-06,1.56750901942865E-05,3.77161585216888E-06,2.05218659674929E-07,8.70716026687414E-08,3.19438307654688E-05,0.249592290577118,3.27239202549102E-05,1.18106551396606E-05,1.36365220134971E-05,6.36927333123998E-06,1.4703477916028E-06
