PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6_north,Ratio 6.2/11.2,Ratio 7.7/11.2,Ratio 6.2/7.7,H2_9,H2_12,PAH 12.7,PAH 12.0,PAH 13.5,PAH 14.2,G7.6,G7.8,f_evsg,PAHPLAT_11,fevsg
2.30417685598671E-06,1.40308269792259E-06,4.39958884656801E-06,1.07880798976085E-07,6.26650247847153E-07,1.64222455269265,3.13565896941219,0.523725497164156,1.10161583175531E-07,7.46995576501182E-08,3.98248474048996E-07,2.51082028520953E-08,3.5314866670881E-08,6.87940170903187E-08,4.37755987991615E-06,1.48612714307339E-06,0.396374200896877,2.38030929187691E-06,0.396374200896877
2.34950137482528E-06,1.33133635703989E-06,4.40210705035403E-06,1.0920024311612E-07,6.34308070426983E-07,1.76476918278502,3.30653258815955,0.533721999022337,1.1771240707001E-07,6.53081253871299E-08,3.87766954695265E-07,2.3032969034719E-08,2.86364962151308E-08,7.95058352600013E-08,4.35446872917831E-06,1.4542891100559E-06,0.405951995258911,2.38721498916346E-06,0.405951995258911
2.54183491039125E-06,1.29188092328442E-06,4.45405290277005E-06,9.98503019684744E-08,6.48850009368605E-07,1.96754581988022,3.44772712600034,0.570679101905243,1.10504886125097E-07,5.95454490697219E-08,3.87341047969578E-07,2.40176006222935E-08,3.11088663834673E-08,9.06900865899132E-08,4.37682060218901E-06,1.41445843651513E-06,0.378466253664241,2.38995528156971E-06,0.378466253664241
2.60288084122097E-06,1.28093155632405E-06,4.57769528319763E-06,1.04048299391251E-07,7.01516316163313E-07,2.03202179567703,3.57372356126073,0.568600721584681,9.53098305184978E-08,6.40879776552433E-08,3.94469947261804E-07,2.27031106010355E-08,4.23438352205018E-08,9.01644030599097E-08,4.5460139180917E-06,1.39461060049358E-06,0.321945862210093,2.29035187208557E-06,0.321945862210093
2.53317237255242E-06,1.23459619752457E-06,4.70050063675494E-06,1.11380966700484E-07,7.50593184412688E-07,2.05182259400407,3.80731825205658,0.538915440781907,8.73582827937497E-08,6.20285187932396E-08,3.9520748618504E-07,2.01073113200693E-08,4.81909677161368E-08,7.60662456956246E-08,4.69441896775531E-06,1.33880677354756E-06,0.26679936835677,2.15696086899627E-06,0.26679936835677
2.58559417501571E-06,1.14748326264558E-06,4.62696868889382E-06,1.15562586834636E-07,7.66344817076021E-07,2.25327397722081,4.03227553683539,0.558809524953552,9.42201321428776E-08,6.16685290159261E-08,3.8612473794875E-07,2.45947003590137E-08,5.18504035718038E-08,5.97267978366672E-08,4.6211053902926E-06,1.19469616594007E-06,0.190269358559971,2.00541770496528E-06,0.190269358559971
2.61587838309569E-06,1.10730516207367E-06,4.49790537264766E-06,1.29522630017617E-07,7.75354059284518E-07,2.36238254159034,4.06202872225788,0.581577015604461,1.10776433977461E-07,6.65542605626258E-08,3.6438704261639E-07,3.42041202861738E-08,5.24416836771318E-08,5.14250444240628E-08,4.56486844685996E-06,1.10410833974079E-06,0.126873559447474,1.86086494389852E-06,0.126873559447474
2.61703830917856E-06,1.09442038084121E-06,4.71006700883494E-06,1.39010669786768E-07,7.69071617783517E-07,2.39125509264275,4.30370915170149,0.555626555687984,1.27690776125104E-07,6.00557986009385E-08,3.52849547587761E-07,2.95309166429266E-08,5.06835558079425E-08,5.08056831116799E-08,4.69981590632123E-06,1.11968376658757E-06,0.115990961730062,1.84189318044655E-06,0.115990961730062
2.69004743767052E-06,1.07178886210967E-06,4.70334675432927E-06,1.43233175455891E-07,7.61336722688146E-07,2.50986694559927,4.38831463976157,0.571943251939573,1.2017729279533E-07,4.70602708264134E-08,3.6429266472277E-07,2.57505521803262E-08,5.24333649513733E-08,4.69052928726916E-08,4.69469433470369E-06,1.10837939162972E-06,0.129308157070963,1.84429442007233E-06,0.129308157070963
2.71340924499219E-06,1.05505524759382E-06,4.55670406001636E-06,1.53472886310193E-07,7.86672286207996E-07,2.57181721163934,4.31892459699005,0.595476293666182,1.0610757132439E-07,5.379550296077E-08,3.76088300342913E-07,3.20482482723952E-08,5.43501592636264E-08,4.26095740804778E-08,4.54185763169624E-06,1.0663965540748E-06,0.143203208400566,1.81966737189675E-06,0.143203208400566
2.64813294802378E-06,1.05157043747588E-06,4.6948570146377E-06,1.53318985193841E-07,7.78189252985432E-07,2.51826492420249,4.46461487250147,0.564049754820517,9.37409757283203E-08,6.4197747931069E-08,3.80747092851578E-07,3.48171860000682E-08,5.9312096654246E-08,3.95090850135265E-08,4.58799303359865E-06,1.08149345652972E-06,0.138236929351864,1.82344363876602E-06,0.138236929351864
2.55680633915969E-06,1.01966933937966E-06,4.76318371139791E-06,1.44021720769638E-07,7.45961053767945E-07,2.5074857509349,4.67130228147854,0.536785161790309,8.4590320181449E-08,6.40318565571695E-08,3.78022685500714E-07,2.9224631277919E-08,6.09459590389532E-08,2.93778077271781E-08,4.62990814267545E-06,1.08844731531346E-06,0.121785992151794,1.78903821647851E-06,0.121785992151794
2.52056397364153E-06,9.74458647563216E-07,4.67342680876696E-06,1.46954137636704E-07,7.17693011911466E-07,2.58663000215001,4.79592112036112,0.539339563190156,7.01305073343471E-08,5.68759252188391E-08,3.60808567682261E-07,2.8676199346027E-08,5.63132399996004E-08,2.22577844241281E-08,4.48677073988708E-06,1.06628716612106E-06,0.103922526298461,1.65788722622368E-06,0.103922526298461
2.35832901604634E-06,9.06943119257728E-07,4.407197442171E-06,1.50072205917338E-07,6.99973806985932E-07,2.60030531790844,4.85939784821124,0.535108546188622,5.80139451132823E-08,4.86524412647186E-08,3.38496537209723E-07,2.59241460205846E-08,5.34410587536166E-08,2.43335663502972E-08,4.19974129733635E-06,9.98705094175786E-07,0.098299742645987,1.56312394429162E-06,0.098299742645987
2.29339081884599E-06,8.33481335368601E-07,4.13508952210677E-06,1.32624939187672E-07,6.55826254478201E-07,2.75158029523451,4.96122630062022,0.554616969375198,5.77142105475537E-08,4.71137539357236E-08,3.11764011322355E-07,2.55825756453327E-08,5.01708845513653E-08,2.4056229714137E-08,3.90954793044107E-06,9.29317409394349E-07,0.093708206219657,1.54571196602298E-06,0.093708206219657
2.14525495595235E-06,7.71700442059879E-07,3.71034713343173E-06,1.13508157001822E-07,6.38368097335308E-07,2.7799063458174,4.80801478294843,0.578181738474745,6.48152395163423E-08,4.52491984349702E-08,2.69207649089921E-07,2.15013954148419E-08,4.37876620220468E-08,2.18288705474311E-08,3.59944566360704E-06,8.63974400159135E-07,0.100566488954559,1.52464597430954E-06,0.100566488954559
1.92716444975211E-06,7.26405424719849E-07,3.59092804915247E-06,1.09022413778561E-07,6.09229713645086E-07,2.65301494753478,4.9434213002159,0.536675874139823,7.23248389290406E-08,4.3264758707684E-08,2.3420525380853E-07,1.60584606217524E-08,3.79741028748005E-08,1.80538308195076E-08,3.52162870803245E-06,8.73161583748837E-07,0.129791752733726,1.45771432394536E-06,0.129791752733726
1.75687491041866E-06,6.93085644387767E-07,3.58860548301134E-06,1.08191120911566E-07,5.89683749614929E-07,2.53485976032671,5.17772300157986,0.489570368973632,7.68384074928892E-08,4.74674049526914E-08,2.12326603418141E-07,1.30678184916418E-08,3.89919290786357E-08,1.68502541802034E-08,3.48316928413298E-06,8.60428672857016E-07,0.153564894417589,1.40137538954448E-06,0.153564894417589
