PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
8.77E-06,5.03E-06,1.52E-05,4.18E-07,2.10E-06,1.84E-06,0.3492232327,1.34E-05,7.00E-06
8.01E-06,4.21E-06,1.37E-05,4.14E-07,1.86E-06,1.35E-06,0.3104785325,1.24E-05,6.27E-06
7.18E-06,3.61E-06,1.22E-05,3.87E-07,1.76E-06,1.38E-06,0.2674035687,1.13E-05,5.56E-06
6.45E-06,3.32E-06,1.11E-05,3.55E-07,1.73E-06,1.36E-06,0.224694767,1.05E-05,5.07E-06
5.82E-06,3.15E-06,1.02E-05,3.36E-07,1.62E-06,1.01E-06,0.2055147012,9.97E-06,4.83E-06
5.53E-06,3.17E-06,9.51E-06,3.16E-07,1.50E-06,1.36E-06,0.2312484772,9.25E-06,4.52E-06
5.65E-06,3.36E-06,9.35E-06,2.78E-07,1.43E-06,1.90E-06,0.2862306752,8.72E-06,4.27E-06
5.59E-06,3.47E-06,9.27E-06,2.51E-07,1.29E-06,1.60E-06,0.3456905481,8.42E-06,4.23E-06
5.28E-06,3.25E-06,8.61E-06,2.37E-07,1.17E-06,1.53E-06,0.3677281989,7.94E-06,4.08E-06
4.99E-06,3.03E-06,8.18E-06,2.06E-07,1.19E-06,1.70E-06,0.3452452611,7.46E-06,3.81E-06
4.98E-06,3.12E-06,7.98E-06,2.00E-07,1.20E-06,1.78E-06,0.3322040596,7.12E-06,3.66E-06
4.75E-06,3.04E-06,7.69E-06,1.84E-07,1.09E-06,1.26E-06,0.3487353678,6.68E-06,3.58E-06
4.13E-06,2.69E-06,7.00E-06,1.60E-07,9.67E-07,8.51E-07,0.3617974574,6.04E-06,3.42E-06
3.62E-06,2.32E-06,6.32E-06,1.47E-07,8.49E-07,8.31E-07,0.3528955954,5.45E-06,3.11E-06
3.23E-06,2.01E-06,5.93E-06,1.47E-07,7.22E-07,4.96E-07,0.3240931406,5.11E-06,2.87E-06
2.88E-06,1.70E-06,5.26E-06,1.51E-07,6.04E-07,4.46E-07,0.2867451616,4.46E-06,2.50E-06
2.48E-06,1.41E-06,4.48E-06,1.21E-07,5.19E-07,3.81E-07,0.2583378246,3.87E-06,2.10E-06
2.18E-06,1.22E-06,3.97E-06,8.78E-08,5.25E-07,9.69E-08,0.2508689715,3.50E-06,1.79E-06
1.98E-06,1.09E-06,3.50E-06,8.04E-08,5.07E-07,2.79E-07,0.2725520339,3.03E-06,1.56E-06
1.72E-06,9.75E-07,3.02E-06,7.60E-08,4.41E-07,1.57E-07,0.2968620894,2.62E-06,1.43E-06
1.64E-06,8.82E-07,2.80E-06,6.63E-08,4.13E-07,2.89E-07,0.2945883565,2.44E-06,1.34E-06
1.53E-06,8.47E-07,2.75E-06,6.47E-08,3.98E-07,3.13E-08,0.3063322546,2.25E-06,1.27E-06
1.35E-06,8.15E-07,2.66E-06,7.25E-08,4.05E-07,2.74E-07,0.3030677226,2.02E-06,1.22E-06
1.33E-06,7.74E-07,2.33E-06,7.62E-08,3.75E-07,1.03E-07,0.2790056068,1.82E-06,1.11E-06
1.21E-06,7.03E-07,2.09E-06,6.97E-08,3.41E-07,8.38E-08,0.2468164972,1.75E-06,1.04E-06
9.57E-07,6.05E-07,2.04E-06,6.48E-08,3.07E-07,2.06E-07,0.2135061169,1.67E-06,1.00E-06
8.46E-07,5.01E-07,1.72E-06,5.36E-08,2.85E-07,5.88E-08,0.1733309274,1.32E-06,8.38E-07
9.50E-06,5.24E-06,1.74E-05,4.49E-07,3.22E-06,2.44E-06,0.2486477372,0,0
9.67E-06,5.42E-06,1.69E-05,4.47E-07,3.27E-06,2.76E-06,0.2558418078,1.52E-05,7.35E-06
8.96E-06,5.15E-06,1.55E-05,4.15E-07,3.05E-06,1.99E-06,0.2583267717,1.44E-05,6.94E-06
8.15E-06,4.52E-06,1.37E-05,3.93E-07,2.72E-06,1.29E-06,0.2345306584,1.33E-05,6.32E-06
7.42E-06,3.88E-06,1.27E-05,3.84E-07,2.43E-06,6.95E-07,0.185466993,1.23E-05,5.64E-06
7.05E-06,3.50E-06,1.22E-05,3.80E-07,2.24E-06,7.62E-07,0.1626129525,1.16E-05,5.19E-06
6.87E-06,3.39E-06,1.20E-05,3.73E-07,2.15E-06,1.29E-06,0.1713597954,1.14E-05,4.97E-06
6.83E-06,3.45E-06,1.18E-05,3.68E-07,2.13E-06,1.27E-06,0.1916409747,1.12E-05,4.91E-06
6.54E-06,3.49E-06,1.18E-05,3.57E-07,2.06E-06,8.47E-07,0.2176478044,1.09E-05,4.98E-06
6.12E-06,3.43E-06,1.12E-05,3.30E-07,1.92E-06,8.78E-07,0.2450143461,1.02E-05,4.82E-06
6.31E-06,3.38E-06,1.06E-05,3.11E-07,1.86E-06,1.10E-06,0.250282401,9.74E-06,4.60E-06
6.56E-06,3.37E-06,1.14E-05,3.23E-07,1.94E-06,1.33E-06,0.2328278658,9.98E-06,4.63E-06
7.31E-06,3.42E-06,1.32E-05,3.58E-07,2.27E-06,1.45E-06,0.2076492029,1.15E-05,5.15E-06
8.55E-06,3.63E-06,1.61E-05,4.24E-07,2.82E-06,1.27E-06,0.1760859231,1.36E-05,5.80E-06
9.48E-06,3.90E-06,1.75E-05,5.00E-07,3.24E-06,1.59E-06,0.1512937197,1.51E-05,6.16E-06
9.27E-06,3.95E-06,1.76E-05,5.15E-07,3.21E-06,1.35E-06,0.1449526224,1.55E-05,6.20E-06
8.84E-06,3.78E-06,1.64E-05,4.85E-07,2.90E-06,1.40E-06,0.1544192111,1.48E-05,5.83E-06
8.67E-06,3.66E-06,1.57E-05,4.65E-07,2.68E-06,1.38E-06,0.1590723764,1.44E-05,5.61E-06
8.53E-06,3.58E-06,1.55E-05,4.71E-07,2.56E-06,1.15E-06,0.1399741491,1.43E-05,5.57E-06
8.44E-06,3.55E-06,1.53E-05,4.76E-07,2.51E-06,1.33E-06,0.1082484128,1.42E-05,5.58E-06
8.51E-06,3.73E-06,1.53E-05,4.69E-07,2.51E-06,2.03E-06,0.1112468693,1.43E-05,5.62E-06
8.66E-06,4.10E-06,1.55E-05,4.70E-07,2.51E-06,1.82E-06,0.1589866028,1.44E-05,5.70E-06
8.75E-06,4.21E-06,1.54E-05,4.81E-07,2.49E-06,1.69E-06,0.1720986225,1.42E-05,5.75E-06
8.71E-06,4.14E-06,1.54E-05,4.82E-07,2.55E-06,1.70E-06,0.1323285022,1.39E-05,5.67E-06
8.72E-06,4.22E-06,1.55E-05,4.77E-07,2.67E-06,1.77E-06,0.08845317571,1.41E-05,5.66E-06
9.10E-06,4.47E-06,1.55E-05,4.71E-07,2.67E-06,1.90E-06,0.0911093042,1.41E-05,5.79E-06
9.95E-06,5.04E-06,1.65E-05,4.39E-07,2.66E-06,3.53E-06,0.1738507399,1.44E-05,6.27E-06
1.09E-05,5.93E-06,1.78E-05,4.21E-07,2.67E-06,3.24E-06,0.2946825406,1.51E-05,7.26E-06
1.11E-05,6.30E-06,1.83E-05,4.15E-07,2.56E-06,2.82E-06,0.3800856248,1.54E-05,8.10E-06
1.02E-05,5.92E-06,1.75E-05,4.11E-07,2.39E-06,2.06E-06,0.4016051857,1.48E-05,8.04E-06
9.12E-06,5.38E-06,1.63E-05,4.05E-07,2.28E-06,2.06E-06,0.3794744491,1.39E-05,7.36E-06
8.43E-06,4.81E-06,1.51E-05,4.08E-07,2.12E-06,1.80E-06,0.3492230954,1.31E-05,6.70E-06
7.81E-06,4.22E-06,1.39E-05,4.08E-07,1.93E-06,1.06E-06,0.3217173155,1.24E-05,6.23E-06
7.21E-06,3.78E-06,1.26E-05,3.86E-07,1.79E-06,1.29E-06,0.2935745301,1.15E-05,5.81E-06
6.70E-06,3.56E-06,1.17E-05,3.57E-07,1.72E-06,1.26E-06,0.272486953,1.09E-05,5.52E-06
6.20E-06,3.48E-06,1.09E-05,3.31E-07,1.59E-06,1.55E-06,0.2802473019,1.03E-05,5.34E-06
5.89E-06,3.47E-06,1.02E-05,3.07E-07,1.46E-06,1.68E-06,0.3075566907,9.51E-06,5.00E-06
5.85E-06,3.56E-06,9.75E-06,2.72E-07,1.39E-06,1.93E-06,0.3362578567,8.92E-06,4.63E-06
5.78E-06,3.59E-06,9.51E-06,2.48E-07,1.30E-06,1.80E-06,0.3638230361,8.50E-06,4.40E-06
5.44E-06,3.41E-06,8.95E-06,2.37E-07,1.23E-06,1.44E-06,0.3615801105,8.10E-06,4.19E-06
5.17E-06,3.24E-06,8.43E-06,2.15E-07,1.24E-06,1.88E-06,0.3404130082,7.73E-06,3.96E-06
5.09E-06,3.23E-06,8.15E-06,2.05E-07,1.20E-06,1.60E-06,0.3427787989,7.27E-06,3.78E-06
4.82E-06,3.07E-06,7.70E-06,1.86E-07,1.06E-06,8.77E-07,0.3520999397,6.71E-06,3.62E-06
4.17E-06,2.70E-06,6.97E-06,1.55E-07,9.28E-07,9.52E-07,0.3579612689,5.98E-06,3.41E-06
3.65E-06,2.32E-06,6.29E-06,1.36E-07,8.17E-07,7.56E-07,0.3634296738,5.39E-06,3.12E-06
3.23E-06,1.99E-06,5.95E-06,1.29E-07,7.12E-07,5.70E-07,0.342340895,5.10E-06,2.83E-06
2.82E-06,1.72E-06,5.19E-06,1.38E-07,6.30E-07,5.36E-07,0.3285802337,4.33E-06,2.42E-06
2.48E-06,1.46E-06,4.35E-06,1.20E-07,5.20E-07,4.66E-07,0.2996699391,3.68E-06,2.04E-06
2.16E-06,1.26E-06,3.94E-06,8.95E-08,4.88E-07,1.84E-07,0.2644074931,3.36E-06,1.75E-06
1.94E-06,1.11E-06,3.36E-06,7.72E-08,4.57E-07,1.36E-07,0.2659001788,2.94E-06,1.50E-06
1.73E-06,9.88E-07,2.94E-06,7.24E-08,3.99E-07,3.27E-07,0.2990002206,2.57E-06,1.39E-06
1.59E-06,8.91E-07,2.75E-06,6.49E-08,3.75E-07,1.93E-07,0.3008559397,2.42E-06,1.34E-06
1.47E-06,8.42E-07,2.60E-06,6.49E-08,3.62E-07,-2.39E-07,0.313612103,2.16E-06,1.22E-06
1.29E-06,8.03E-07,2.43E-06,7.59E-08,3.73E-07,2.89E-07,0.3131345009,1.86E-06,1.13E-06
1.27E-06,7.34E-07,2.12E-06,6.99E-08,3.26E-07,3.49E-08,0.3027839599,1.74E-06,1.07E-06
1.12E-06,6.74E-07,2.03E-06,6.86E-08,3.05E-07,9.45E-08,0.272831797,1.67E-06,1.00E-06
9.35E-07,5.81E-07,2.02E-06,6.79E-08,2.91E-07,5.53E-08,0.2136503488,1.62E-06,9.53E-07
8.75E-07,4.67E-07,1.51E-06,4.98E-08,2.61E-07,-4.97E-08,0.1670623799,1.29E-06,7.97E-07
9.34E-06,4.89E-06,1.70E-05,4.44E-07,3.18E-06,2.33E-06,0.2371344523,0,0
9.60E-06,5.16E-06,1.68E-05,4.50E-07,3.27E-06,2.39E-06,0.2482325451,1.55E-05,7.27E-06
9.07E-06,5.01E-06,1.58E-05,4.31E-07,3.10E-06,1.81E-06,0.2480096743,1.51E-05,7.06E-06
8.35E-06,4.51E-06,1.46E-05,4.12E-07,2.79E-06,1.26E-06,0.2317462373,1.41E-05,6.49E-06
7.69E-06,3.94E-06,1.32E-05,3.93E-07,2.50E-06,6.65E-07,0.196893607,1.29E-05,5.90E-06
7.44E-06,3.61E-06,1.25E-05,3.80E-07,2.28E-06,1.15E-06,0.1898403062,1.19E-05,5.45E-06
7.14E-06,3.49E-06,1.21E-05,3.63E-07,2.16E-06,1.25E-06,0.2099030445,1.12E-05,5.16E-06
6.95E-06,3.51E-06,1.18E-05,3.64E-07,2.13E-06,1.02E-06,0.2248537943,1.14E-05,5.22E-06
6.42E-06,3.48E-06,1.19E-05,3.60E-07,2.05E-06,8.99E-07,0.2298661364,1.10E-05,5.10E-06
6.00E-06,3.37E-06,1.11E-05,3.39E-07,1.91E-06,9.13E-07,0.2400351164,1.01E-05,4.79E-06
6.16E-06,3.29E-06,1.07E-05,3.13E-07,1.83E-06,1.05E-06,0.2491516411,9.82E-06,4.60E-06
6.55E-06,3.26E-06,1.07E-05,3.16E-07,1.86E-06,1.22E-06,0.2453627187,1.02E-05,4.68E-06
6.93E-06,3.23E-06,1.28E-05,3.39E-07,2.10E-06,1.04E-06,0.222495892,1.11E-05,4.98E-06
8.08E-06,3.37E-06,1.50E-05,3.92E-07,2.58E-06,1.07E-06,0.1867675873,1.28E-05,5.50E-06
8.99E-06,3.67E-06,1.59E-05,4.71E-07,3.00E-06,1.24E-06,0.1587316641,1.42E-05,5.96E-06
8.89E-06,3.76E-06,1.68E-05,4.97E-07,3.04E-06,1.21E-06,0.1471728062,1.46E-05,6.02E-06
8.68E-06,3.62E-06,1.61E-05,4.73E-07,2.81E-06,1.06E-06,0.1499430505,1.41E-05,5.80E-06
8.60E-06,3.54E-06,1.57E-05,4.58E-07,2.66E-06,1.42E-06,0.1538819626,1.40E-05,5.67E-06
8.56E-06,3.54E-06,1.56E-05,4.67E-07,2.57E-06,1.40E-06,0.1411001809,1.41E-05,5.64E-06
8.48E-06,3.55E-06,1.55E-05,4.73E-07,2.54E-06,1.12E-06,0.1201183333,1.41E-05,5.58E-06
8.53E-06,3.75E-06,1.55E-05,4.62E-07,2.55E-06,1.74E-06,0.1270837094,1.39E-05,5.55E-06
8.70E-06,4.13E-06,1.56E-05,4.52E-07,2.54E-06,2.14E-06,0.1721169277,1.40E-05,5.61E-06
8.74E-06,4.26E-06,1.54E-05,4.59E-07,2.47E-06,1.86E-06,0.1888517504,1.40E-05,5.71E-06
8.64E-06,4.14E-06,1.51E-05,4.58E-07,2.48E-06,1.65E-06,0.1522281798,1.40E-05,5.65E-06
8.61E-06,4.15E-06,1.52E-05,4.57E-07,2.58E-06,1.71E-06,0.1010460197,1.41E-05,5.61E-06
8.99E-06,4.32E-06,1.53E-05,4.57E-07,2.62E-06,2.02E-06,0.08810953961,1.42E-05,5.71E-06
9.67E-06,4.76E-06,1.61E-05,4.29E-07,2.63E-06,2.77E-06,0.1581067514,1.43E-05,6.10E-06
1.03E-05,5.47E-06,1.72E-05,4.12E-07,2.60E-06,3.28E-06,0.2799968014,1.47E-05,6.92E-06
1.06E-05,5.81E-06,1.76E-05,4.03E-07,2.46E-06,2.46E-06,0.3712474256,1.48E-05,7.64E-06
9.82E-06,5.49E-06,1.69E-05,4.02E-07,2.28E-06,1.99E-06,0.3895652243,1.42E-05,7.64E-06
8.79E-06,5.00E-06,1.58E-05,4.07E-07,2.19E-06,1.93E-06,0.356497188,1.34E-05,7.12E-06
8.15E-06,4.58E-06,1.48E-05,4.15E-07,2.08E-06,1.65E-06,0.3222224422,1.29E-05,6.68E-06
7.67E-06,4.21E-06,1.39E-05,4.14E-07,1.94E-06,1.77E-06,0.3088206813,1.25E-05,6.44E-06
7.29E-06,3.92E-06,1.29E-05,3.83E-07,1.79E-06,1.44E-06,0.3108357892,1.18E-05,6.19E-06
7.00E-06,3.79E-06,1.22E-05,3.45E-07,1.71E-06,1.60E-06,0.3246331247,1.12E-05,5.90E-06
6.62E-06,3.80E-06,1.15E-05,3.15E-07,1.58E-06,1.93E-06,0.3564424368,1.05E-05,5.59E-06
6.27E-06,3.77E-06,1.06E-05,2.85E-07,1.43E-06,1.79E-06,0.3835412919,9.79E-06,5.23E-06
6.06E-06,3.74E-06,1.01E-05,2.52E-07,1.36E-06,1.83E-06,0.3885638383,9.15E-06,4.82E-06
5.97E-06,3.74E-06,9.66E-06,2.44E-07,1.32E-06,1.93E-06,0.383997335,8.69E-06,4.52E-06
5.63E-06,3.63E-06,9.19E-06,2.40E-07,1.28E-06,1.86E-06,0.3607255836,8.22E-06,4.22E-06
5.29E-06,3.44E-06,8.77E-06,2.15E-07,1.28E-06,1.94E-06,0.3418515126,7.76E-06,3.98E-06
5.14E-06,3.34E-06,8.32E-06,2.04E-07,1.20E-06,1.64E-06,0.3544764601,7.25E-06,3.78E-06
4.80E-06,3.08E-06,7.72E-06,1.82E-07,1.04E-06,1.31E-06,0.3607314069,6.64E-06,3.59E-06
4.19E-06,2.70E-06,6.96E-06,1.47E-07,9.00E-07,8.96E-07,0.3632195152,5.86E-06,3.37E-06
3.67E-06,2.33E-06,6.30E-06,1.33E-07,7.80E-07,6.60E-07,0.3738594756,5.26E-06,3.09E-06
3.20E-06,1.96E-06,5.95E-06,1.28E-07,6.67E-07,5.80E-07,0.3377182471,4.88E-06,2.83E-06
2.79E-06,1.68E-06,5.06E-06,1.33E-07,6.02E-07,3.87E-07,0.327458479,4.17E-06,2.47E-06
2.54E-06,1.47E-06,4.22E-06,1.23E-07,5.28E-07,2.52E-07,0.310620849,3.65E-06,2.12E-06
2.19E-06,1.30E-06,3.85E-06,9.81E-08,4.94E-07,2.28E-07,0.2771919768,3.28E-06,1.80E-06
1.93E-06,1.13E-06,3.26E-06,7.76E-08,4.46E-07,4.05E-07,0.2691221618,2.88E-06,1.56E-06
1.74E-06,1.01E-06,2.87E-06,6.96E-08,3.83E-07,2.48E-07,0.3056708487,2.51E-06,1.45E-06
1.54E-06,9.15E-07,2.73E-06,6.40E-08,3.54E-07,1.25E-07,0.3112609913,2.31E-06,1.36E-06
1.39E-06,8.55E-07,2.50E-06,7.48E-08,3.26E-07,7.44E-08,0.3163090288,2.04E-06,1.20E-06
1.26E-06,8.01E-07,2.20E-06,8.51E-08,3.21E-07,9.02E-08,0.3172033148,1.71E-06,1.07E-06
1.20E-06,7.14E-07,2.03E-06,7.58E-08,2.75E-07,1.41E-07,0.3149951727,1.57E-06,1.01E-06
1.03E-06,6.61E-07,1.93E-06,7.51E-08,2.63E-07,2.18E-07,0.2840801544,1.44E-06,9.24E-07
8.99E-07,5.83E-07,2.00E-06,7.26E-08,2.69E-07,2.74E-07,0.1970883426,1.50E-06,9.46E-07
8.72E-07,4.67E-07,1.48E-06,5.08E-08,2.60E-07,1.19E-07,0.139648651,1.19E-06,8.23E-07
8.99E-06,4.40E-06,1.66E-05,4.46E-07,3.15E-06,2.15E-06,0.211786934,0,0
9.55E-06,4.74E-06,1.71E-05,4.65E-07,3.37E-06,2.08E-06,0.2152529922,1.59E-05,7.28E-06
9.35E-06,4.72E-06,1.66E-05,4.67E-07,3.29E-06,1.74E-06,0.2094684026,1.57E-05,7.14E-06
8.75E-06,4.38E-06,1.55E-05,4.46E-07,3.00E-06,1.41E-06,0.1911335006,1.47E-05,6.58E-06
8.01E-06,3.93E-06,1.42E-05,4.12E-07,2.66E-06,1.10E-06,0.1777349703,1.33E-05,5.97E-06
7.49E-06,3.63E-06,1.28E-05,3.80E-07,2.35E-06,9.95E-07,0.201334434,1.20E-05,5.57E-06
7.30E-06,3.52E-06,1.22E-05,3.50E-07,2.17E-06,1.30E-06,0.2403454776,1.14E-05,5.42E-06
7.20E-06,3.54E-06,1.26E-05,3.43E-07,2.12E-06,1.47E-06,0.2629259096,1.14E-05,5.45E-06
6.79E-06,3.48E-06,1.21E-05,3.43E-07,2.04E-06,8.17E-07,0.2637775163,1.10E-05,5.26E-06
6.17E-06,3.28E-06,1.11E-05,3.27E-07,1.90E-06,7.12E-07,0.2555194704,1.02E-05,4.82E-06
6.06E-06,3.12E-06,1.07E-05,3.17E-07,1.82E-06,8.03E-07,0.2433105312,9.88E-06,4.56E-06
6.29E-06,3.08E-06,1.12E-05,3.33E-07,1.83E-06,9.58E-07,0.2312273454,1.01E-05,4.59E-06
6.82E-06,3.04E-06,1.22E-05,3.46E-07,2.02E-06,1.01E-06,0.214072572,1.09E-05,4.84E-06
7.75E-06,3.17E-06,1.38E-05,3.84E-07,2.40E-06,9.06E-07,0.1946791042,1.22E-05,5.30E-06
8.40E-06,3.43E-06,1.54E-05,4.36E-07,2.77E-06,1.37E-06,0.178308115,1.33E-05,5.70E-06
8.40E-06,3.54E-06,1.59E-05,4.57E-07,2.84E-06,1.07E-06,0.1685788795,1.37E-05,5.78E-06
8.25E-06,3.48E-06,1.55E-05,4.42E-07,2.67E-06,1.14E-06,0.1731070432,1.35E-05,5.74E-06
8.27E-06,3.47E-06,1.54E-05,4.34E-07,2.56E-06,1.12E-06,0.1806936684,1.37E-05,5.68E-06
8.39E-06,3.50E-06,1.57E-05,4.49E-07,2.50E-06,1.21E-06,0.169024225,1.39E-05,5.59E-06
8.33E-06,3.50E-06,1.55E-05,4.50E-07,2.47E-06,1.32E-06,0.1480106901,1.37E-05,5.43E-06
8.28E-06,3.68E-06,1.52E-05,4.34E-07,2.47E-06,1.68E-06,0.1505646839,1.35E-05,5.35E-06
8.49E-06,4.08E-06,1.52E-05,4.30E-07,2.47E-06,2.44E-06,0.1889833685,1.36E-05,5.45E-06
8.71E-06,4.31E-06,1.52E-05,4.42E-07,2.46E-06,1.99E-06,0.2064423637,1.37E-05,5.63E-06
8.74E-06,4.19E-06,1.52E-05,4.53E-07,2.51E-06,1.76E-06,0.1612062965,1.39E-05,5.64E-06
8.66E-06,4.13E-06,1.53E-05,4.67E-07,2.62E-06,1.60E-06,0.09614361773,1.42E-05,5.57E-06
8.84E-06,4.24E-06,1.55E-05,4.66E-07,2.66E-06,1.92E-06,0.07643933727,1.41E-05,5.60E-06
9.30E-06,4.56E-06,1.59E-05,4.32E-07,2.63E-06,2.73E-06,0.1348400786,1.41E-05,5.92E-06
9.88E-06,5.14E-06,1.65E-05,4.13E-07,2.56E-06,2.78E-06,0.2473887754,1.43E-05,6.57E-06
1.00E-05,5.41E-06,1.68E-05,4.01E-07,2.43E-06,2.38E-06,0.3365510016,1.42E-05,7.16E-06
9.30E-06,5.16E-06,1.63E-05,3.98E-07,2.28E-06,1.94E-06,0.3645099852,1.37E-05,7.22E-06
8.53E-06,4.76E-06,1.53E-05,3.99E-07,2.17E-06,1.70E-06,0.346638731,1.30E-05,6.83E-06
8.12E-06,4.49E-06,1.46E-05,4.00E-07,2.08E-06,1.66E-06,0.3249975746,1.27E-05,6.58E-06
7.93E-06,4.36E-06,1.42E-05,3.96E-07,1.98E-06,1.76E-06,0.3252254366,1.25E-05,6.57E-06
7.75E-06,4.26E-06,1.35E-05,3.70E-07,1.85E-06,1.94E-06,0.3440815583,1.21E-05,6.52E-06
7.36E-06,4.14E-06,1.27E-05,3.33E-07,1.74E-06,2.16E-06,0.3642498355,1.14E-05,6.26E-06
6.80E-06,4.06E-06,1.18E-05,3.06E-07,1.58E-06,1.90E-06,0.3862912037,1.06E-05,5.87E-06
6.46E-06,4.03E-06,1.11E-05,2.74E-07,1.41E-06,2.16E-06,0.4060125704,9.95E-06,5.46E-06
6.42E-06,3.99E-06,1.03E-05,2.45E-07,1.35E-06,2.15E-06,0.4078857717,9.39E-06,5.08E-06
6.23E-06,3.85E-06,9.88E-06,2.33E-07,1.36E-06,1.76E-06,0.389642751,8.86E-06,4.68E-06
5.83E-06,3.64E-06,9.29E-06,2.33E-07,1.32E-06,1.71E-06,0.3584852523,8.38E-06,4.31E-06
5.45E-06,3.45E-06,8.80E-06,2.13E-07,1.26E-06,1.75E-06,0.3422067354,7.73E-06,4.02E-06
5.11E-06,3.34E-06,8.25E-06,1.98E-07,1.18E-06,1.73E-06,0.3501013174,7.18E-06,3.79E-06
4.69E-06,3.08E-06,7.62E-06,1.76E-07,1.04E-06,1.35E-06,0.3683780275,6.54E-06,3.57E-06
4.13E-06,2.68E-06,6.82E-06,1.46E-07,9.14E-07,9.93E-07,0.381557915,5.69E-06,3.34E-06
3.65E-06,2.28E-06,6.09E-06,1.32E-07,7.92E-07,5.95E-07,0.385405415,5.16E-06,3.08E-06
3.12E-06,1.94E-06,5.74E-06,1.21E-07,6.81E-07,6.35E-07,0.3598347159,4.69E-06,2.80E-06
2.69E-06,1.70E-06,4.85E-06,1.14E-07,5.96E-07,4.17E-07,0.3635967241,4.15E-06,2.52E-06
2.41E-06,1.44E-06,4.29E-06,9.39E-08,5.43E-07,4.19E-07,0.3536752742,3.65E-06,2.15E-06
2.08E-06,1.25E-06,3.88E-06,7.36E-08,5.20E-07,2.84E-07,0.3254968151,3.24E-06,1.83E-06
1.82E-06,1.11E-06,3.33E-06,7.27E-08,4.78E-07,1.67E-07,0.30975172,2.81E-06,1.63E-06
1.61E-06,9.99E-07,2.86E-06,7.01E-08,4.02E-07,2.07E-07,0.3289607482,2.41E-06,1.51E-06
1.41E-06,8.63E-07,2.62E-06,6.10E-08,3.43E-07,6.89E-08,0.32375254,2.17E-06,1.36E-06
1.22E-06,7.90E-07,2.40E-06,6.45E-08,3.37E-07,1.92E-08,0.3307718892,1.87E-06,1.16E-06
1.12E-06,7.27E-07,2.06E-06,7.17E-08,3.13E-07,-2.31E-08,0.3317400059,1.62E-06,1.05E-06
1.09E-06,6.67E-07,1.89E-06,6.71E-08,2.87E-07,1.90E-07,0.3276641175,1.45E-06,9.73E-07
9.95E-07,6.50E-07,1.74E-06,6.99E-08,2.55E-07,1.53E-07,0.3099133917,1.31E-06,8.95E-07
8.45E-07,5.61E-07,1.90E-06,6.98E-08,2.58E-07,1.98E-07,0.2457558649,1.38E-06,9.47E-07
8.51E-07,4.51E-07,1.45E-06,4.94E-08,2.82E-07,3.08E-07,0.2019667997,1.11E-06,8.42E-07
8.65E-06,3.93E-06,1.63E-05,4.57E-07,3.11E-06,1.80E-06,0.1746389276,0,0
9.52E-06,4.34E-06,1.76E-05,4.83E-07,3.46E-06,2.06E-06,0.1744247681,1.64E-05,7.24E-06
9.59E-06,4.44E-06,1.69E-05,4.95E-07,3.49E-06,1.73E-06,0.1644836182,1.65E-05,7.29E-06
9.13E-06,4.25E-06,1.59E-05,4.79E-07,3.23E-06,1.55E-06,0.1435260263,1.54E-05,6.76E-06
8.40E-06,3.92E-06,1.43E-05,4.37E-07,2.81E-06,1.08E-06,0.149895331,1.36E-05,5.96E-06
7.68E-06,3.64E-06,1.30E-05,3.92E-07,2.39E-06,1.03E-06,0.1993959382,1.24E-05,5.60E-06
7.35E-06,3.52E-06,1.27E-05,3.52E-07,2.13E-06,9.42E-07,0.2550576916,1.17E-05,5.40E-06
7.43E-06,3.56E-06,1.29E-05,3.33E-07,2.09E-06,1.47E-06,0.2949584577,1.17E-05,5.49E-06
7.09E-06,3.49E-06,1.22E-05,3.33E-07,2.04E-06,9.94E-07,0.303357285,1.15E-05,5.50E-06
6.33E-06,3.21E-06,1.10E-05,3.25E-07,1.88E-06,8.24E-07,0.278188874,1.06E-05,5.03E-06
5.98E-06,2.96E-06,1.08E-05,3.22E-07,1.78E-06,8.12E-07,0.2357406822,1.00E-05,4.56E-06
6.20E-06,2.88E-06,1.12E-05,3.38E-07,1.79E-06,6.57E-07,0.2091682953,1.00E-05,4.40E-06
6.62E-06,2.84E-06,1.20E-05,3.52E-07,1.92E-06,4.93E-07,0.1982534389,1.06E-05,4.61E-06
7.33E-06,2.98E-06,1.32E-05,3.79E-07,2.22E-06,1.04E-06,0.1976259743,1.17E-05,5.07E-06
7.84E-06,3.21E-06,1.45E-05,4.08E-07,2.53E-06,1.09E-06,0.1948621534,1.28E-05,5.53E-06
7.89E-06,3.33E-06,1.50E-05,4.25E-07,2.63E-06,9.50E-07,0.18757407,1.30E-05,5.62E-06
7.88E-06,3.34E-06,1.51E-05,4.18E-07,2.52E-06,1.41E-06,0.1948318223,1.28E-05,5.56E-06
8.04E-06,3.39E-06,1.53E-05,4.16E-07,2.45E-06,1.30E-06,0.2035316794,1.31E-05,5.61E-06
8.28E-06,3.43E-06,1.54E-05,4.36E-07,2.42E-06,1.08E-06,0.1855228315,1.35E-05,5.64E-06
8.23E-06,3.44E-06,1.51E-05,4.36E-07,2.39E-06,9.85E-07,0.1606341617,1.35E-05,5.56E-06
8.11E-06,3.60E-06,1.47E-05,4.18E-07,2.38E-06,1.43E-06,0.1621704604,1.35E-05,5.48E-06
