PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
2.38E-06,1.28E-06,4.29E-06,8.49E-08,6.30E-07,1.35E-07,0.3388015413,3.36E-06,1.95E-06
2.01E-06,1.05E-06,3.60E-06,7.74E-08,5.51E-07,2.22E-07,0.3701385565,2.86E-06,1.73E-06
1.80E-06,9.09E-07,3.24E-06,7.11E-08,5.04E-07,3.34E-07,0.3446451568,2.67E-06,1.55E-06
1.63E-06,8.54E-07,2.95E-06,7.77E-08,4.68E-07,2.27E-07,0.3336509677,2.51E-06,1.44E-06
1.49E-06,8.58E-07,2.56E-06,9.61E-08,4.74E-07,2.45E-07,0.3228241606,2.17E-06,1.38E-06
1.48E-06,8.51E-07,2.41E-06,9.76E-08,4.79E-07,1.59E-07,0.2951065937,1.98E-06,1.32E-06
1.36E-06,8.55E-07,2.30E-06,9.27E-08,4.36E-07,9.10E-08,0.2786355984,1.87E-06,1.23E-06
1.19E-06,7.85E-07,2.36E-06,8.34E-08,4.18E-07,2.18E-07,0.2418578727,1.76E-06,1.19E-06
1.09E-06,6.65E-07,2.21E-06,5.96E-08,4.30E-07,2.37E-07,0.2081260459,1.57E-06,1.13E-06
8.82E-06,5.69E-06,1.56E-05,3.10E-07,3.14E-06,2.74E-06,0.4303856441,0,0
8.23E-06,5.26E-06,1.43E-05,3.05E-07,2.96E-06,1.95E-06,0.3921128219,1.50E-05,7.13E-06
7.43E-06,4.62E-06,1.29E-05,3.26E-07,2.63E-06,1.18E-06,0.3363232562,1.36E-05,6.31E-06
6.91E-06,4.04E-06,1.21E-05,3.36E-07,2.42E-06,1.02E-06,0.2642077898,1.22E-05,5.31E-06
6.58E-06,3.67E-06,1.17E-05,3.28E-07,2.30E-06,1.27E-06,0.2208411931,1.16E-05,4.79E-06
6.23E-06,3.48E-06,1.14E-05,3.24E-07,2.22E-06,1.08E-06,0.2210520415,1.11E-05,4.55E-06
6.20E-06,3.38E-06,1.10E-05,3.07E-07,2.11E-06,1.06E-06,0.2495179378,1.09E-05,4.62E-06
6.12E-06,3.37E-06,1.07E-05,2.89E-07,2.00E-06,9.99E-07,0.3002001317,1.08E-05,4.69E-06
6.19E-06,3.44E-06,1.04E-05,2.81E-07,1.95E-06,8.89E-07,0.3515309078,1.06E-05,4.85E-06
6.14E-06,3.51E-06,1.06E-05,2.76E-07,1.96E-06,1.06E-06,0.3745231634,1.03E-05,4.89E-06
6.71E-06,3.67E-06,1.17E-05,2.91E-07,2.14E-06,1.26E-06,0.3627690375,1.03E-05,4.81E-06
8.09E-06,3.92E-06,1.39E-05,3.46E-07,2.57E-06,1.45E-06,0.3233993321,1.18E-05,5.20E-06
9.46E-06,4.25E-06,1.77E-05,4.16E-07,3.26E-06,2.08E-06,0.2878581982,1.43E-05,6.01E-06
1.07E-05,4.58E-06,2.01E-05,4.79E-07,3.85E-06,1.97E-06,0.2732956597,1.69E-05,6.84E-06
1.07E-05,4.65E-06,2.02E-05,5.01E-07,3.88E-06,1.78E-06,0.2638097649,1.79E-05,7.17E-06
9.90E-06,4.41E-06,1.86E-05,4.82E-07,3.49E-06,1.62E-06,0.2409546126,1.69E-05,6.72E-06
9.11E-06,4.11E-06,1.69E-05,4.56E-07,3.13E-06,1.39E-06,0.2211760845,1.53E-05,5.97E-06
8.59E-06,3.98E-06,1.62E-05,4.45E-07,2.94E-06,1.85E-06,0.2203723077,1.46E-05,5.55E-06
